"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "HTML", "Dotenv", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Bakalauras.API.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -4, -34
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\AuthController.cs", "C#", 0, 0, 0, 0, 0, 0, -157, 0, 0, -9, -34, -200
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\AuthExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, -21, 0, 0, -1, -5, -27
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\ClientOrdersController.cs", "C#", 0, 0, 0, 0, 0, 0, -477, 0, 0, -37, -53, -567
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\CompaniesController.cs", "C#", 0, 0, 0, 0, 0, 0, -438, 0, 0, -33, -95, -566
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\CompanyIntegrationsController.cs", "C#", 0, 0, 0, 0, 0, 0, -195, 0, 0, -22, -52, -269
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\CourierShipmentController.cs", "C#", 0, 0, 0, 0, 0, 0, -252, 0, 0, -35, -39, -326
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\CouriersController.cs", "C#", 0, 0, 0, 0, 0, 0, -125, 0, 0, -27, -26, -178
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\DashboardController.cs", "C#", 0, 0, 0, 0, 0, 0, -412, 0, 0, -24, -70, -506
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\GenericCourierController.cs", "C#", 0, 0, 0, 0, 0, 0, -70, 0, 0, -10, -13, -93
