"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "HTML", "Dotenv", "comment", "blank", "total"
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\.env", "Dotenv", 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\package-lock.json", "JSON", 0, 0, 15139, 0, 0, 0, 0, 1, 15140
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\package.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\src\App.css", "PostCSS", 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\src\App.js", "JavaScript", 0, 113, 0, 0, 0, 0, 2, 26, 141
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\src\components\AddButton.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\frontend\react-app\src\components\ClientFooter.js", "JavaScript", 0, 42, 0, 0, 0, 0, 5, 5, 52
